Complexity,Loss,Equation
1,0.6931459,"-0.00039319677"
3,0.5070094,"x7 / x3"
5,0.43484455,"(x2 + x6) / x4"
7,0.3923383,"(x4 * (x6 + x2)) - 0.7567327"
9,0.31226182,"((x1 + x7) * (x5 + x3)) + -1.8807857"
11,0.31140116,"(((x5 * 0.8790162) + x3) * (x7 + x1)) + -1.718683"
13,0.28936675,"(x4 / x8) + (((x5 + x3) * (x1 + x7)) + -2.4426265)"
15,0.2826205,"((x4 * (x8 + x0)) + ((x1 + x7) * (x3 + x5))) + -3.0169008"
17,0.2704809,"(((x4 * (x8 + x0)) + ((x1 + x7) * (x5 + x3))) / 1.2862049) + -2.2112572"
19,0.26214847,"((((x8 + (x6 + x0)) / x4) + -3.2810733) + ((x1 + x7) * (x5 + x3))) / 1.511433"
21,0.25681373,"(((x4 * (x8 + ((x0 + x2) + x6))) + -3.8611) + ((x3 + x5) * (x7 + x1))) / 1.5777651"
23,0.25632325,"(((x3 + x5) * (x7 + x1)) / 1.5386076) + ((x4 * ((x6 + ((x8 + x2) + x0)) * 0.54616797)) + -2.206613)"
25,0.25613546,"(((x3 + x5) * ((x7 + x1) / 1.5386076)) + (x4 * ((x6 + (((x8 - 0.101550885) + x2) + x0)) * 0.54616797))) + -2.206613"
29,0.25455394,"(((x6 / x4) + ((x5 + (x3 + (x2 * -0.20136791))) * (x1 + x7))) / 1.6664971) + ((x4 * ((x8 + (x2 + x0)) * 0.49291524)) + -2.1723278)"
